domain,topic,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
Java,Basics,"What is the output of the following code? int x = 5; int y = ++x * 2; System.out.println(y);",10,11,12,13,C,"++x increments x to 6 before multiplication; 6*2 = 12"
Java,Basics,"Which of the following is a valid `main` method?",public static int main(String[] args),public void main(String args[]),public static void main(String[] args),static void main(String args),C,"Only public static void main(String[] args) is valid"
Java,String,"What is the output of: String s = ""Hello""; s.concat("" World""); System.out.println(s);",Hello,Hello World,World,Compilation Error,A,"String is immutable; concat does not modify original"
Java,Primitives,"What is the default value of a `boolean` variable in a class?",true,false,0,null,B,"Class-level booleans default to false"
Java,Keywords,"Which one is not a Java keyword?",static,Integer,void,if,B,"Integer is a class, not a keyword"
Java,Arrays,"Which statement is true about Java arrays?",Arrays are dynamically sized,Arrays can store different data types,The size of an array must be specified at declaration,Arrays are objects in Java,D,"Java arrays are always objects"
Java,Operators,"Which operator is used to perform a short-circuit AND?",&,|,&&,||,C,"Short-circuit AND is &&"
Java,Classes,"Which of the following classes is immutable?",StringBuilder,String,StringBuffer,All of the above,B,"Only String is immutable"
Java,Operators,"What is printed? int i = 10; int j = 5; int result = i++ + ++j; System.out.println(result);",15,16,17,18,C,"i++ is 10, ++j is 6 → result = 10 + 6 = 16"
Java,Basics,"What is the return type of the `main()` method?",void,int,String,Object,A,"main method must return void"
Java,OOP,"Which keyword is used to inherit a class?",implement,interface,inherits,extends,D,"extends is used for class inheritance"
Java,Access Control,"Which access specifier allows access only within the same class?",private,public,protected,default,A,"private restricts access to the same class"
Java,Primitives,"Which of the following is not a primitive type?",int,float,char,String,D,"String is a class, not a primitive"
Java,Exceptions,"Which exception is thrown when dividing by zero?",NullPointerException,ArithmeticException,IllegalArgumentException,NumberFormatException,B,"ArithmeticException for integer division by zero"
Java,Abstract,"How do you declare an abstract method?",public void doIt();,public void doIt() {},abstract void doIt();,void abstract doIt();,C,"Correct syntax: abstract void doIt();"
Java,Collections,"Which collection class maintains insertion order?",HashMap,TreeSet,LinkedHashSet,HashSet,C,"LinkedHashSet preserves insertion order"
Java,Primitives,"What is the size of a `char` in Java?",4 bytes,2 bytes,1 byte,Depends on JVM,B,"Java chars are 16-bit (2 bytes)"
Java,Control Flow,"Which of the following is not allowed in a `switch` statement?",int,String,boolean,char,C,"boolean is not supported in switch"
Java,Threads,"Which interface must be implemented to create a thread?",Runnable,Thread,Callable,Executor,A,"Runnable is the standard way to implement a thread"
Java,String,"Which method is used to get the length of a string in Java?",length(),size(),getSize(),count(),A,"length() returns the number of characters"
Java,Operators,"What will it print? int x = 10; System.out.println(x++ + ++x);",21,22,20,19,A,"x++ is 10, ++x is 12 → 10+12 = 22"
Java,Booleans,"What will it print? boolean b = false; if (b = true) System.out.println(""True"");",True,False,Compilation Error,Runtime Exception,A,"Assignment inside if evaluates to true"
Java,Strings,"What will it print? String s1 = ""java""; String s2 = ""java""; System.out.println(s1 == s2);",true,false,Compilation Error,Runtime Exception,A,"String literals are interned → same reference"
Java,Operators,"What will it print? int x = 5; System.out.println((x > 2) ? (x < 4) ? 10 : 8 : 7);",10,8,7,Compilation Error,B,"x > 2 is true → x < 4 is false → result is 8"
Java,Arrays,"What will it print? int[] arr = {1, 2, 3}; for(int i = 0; i < arr.length; i++) { System.out.print(arr[i] + "" ""); }",1 2 3,3 2 1,1 2 3 4,Compilation Error,A,"Basic for loop over array prints 1 2 3"
Java,Strings,"What will it print? String s = null; System.out.println(s + ""world"");",world,nullworld,Compilation Error,NullPointerException,B,"null + string → 'nullworld'"
Java,Strings,"What will it print? String s1 = new String(""OCA""); String s2 = ""OCA""; System.out.println(s1 == s2);",true,false,Compilation Error,NullPointerException,B,"new String() creates new object"
Java,Operators,"What will it print? int x = 7; int y = 3; System.out.println(x % y);",2,1,3,0,A,"7 % 3 = 1"
Java,Operators,"What will it print? int x = 2; int y = 5; x *= y + 3; System.out.println(x);",16,13,10,8,A,"x *= y + 3 → x = x * (y+3) = 2*8 = 16"
Java,Arrays,"What will it print? int[] arr = new int[2]; System.out.println(arr[0]);",0,null,Compilation Error,Exception,A,"Default value of int array element is 0"
Java,Strings,"What will it print? String str = ""abc""; str.toUpperCase(); System.out.println(str);",abc,ABC,Compilation Error,NullPointerException,A,"String is immutable; str remains unchanged"
Java,Loops,"What will it print? int i = 0; do { System.out.print(i + "" ""); } while(i++ < 2);",0 1 2,0 1 2 3,1 2 3,Infinite loop,A,"Post-increment allows print before check"
Java,Operators,"What will it print? int x = 5; int y = 10; System.out.println(x > 2 && y < 15);",true,false,Compilation Error,Exception,A,"Both conditions are true"
Java,String,"What will it print? String str = ""Java""; System.out.println(str.charAt(2));",v,a,J,Compilation Error,A,"char at index 2 is 'v'"
Java,Ternary,"What will it print? int a = 10, b = 20; int max = (a > b) ? a : b; System.out.println(max);",10,20,0,Compilation Error,B,"b is greater → max = b"
Java,Booleans,"What will it print? int x = 0; if(x) { System.out.println(""Zero""); }",Zero,Nothing,Compilation Error,Runtime Exception,C,"Cannot use int as boolean"
Java,Overflow,"What will it print? byte b = 127; b++; System.out.println(b);",127,128,-128,Compilation Error,C,"Overflow of byte wraps around to -128"
Java,String,"What will it print? System.out.println(10 + 20 + ""30"");",30,1030,3030,3030.0,B,"10+20=30 then string concat = 3030"
Java,Strings,"What will it print? String a = ""Hello""; String b = ""Hel"" + ""lo""; System.out.println(a == b);",true,false,Compilation Error,Runtime Exception,A,"Compile-time string concatenation is interned"
Java,Primitives,"What will it print? final int x = 100; byte b = x; System.out.println(b);",100,Compilation Error,0,Runtime Exception,A,"final constant fits in byte; implicit cast allowed"
Java,Arrays,"What will it print? int[][] matrix = new int[2][]; matrix[0] = new int[3]; matrix[1] = new int[2]; System.out.println(matrix[0].length + matrix[1].length);",4,5,6,Compilation Error,B,"matrix[0].length = 3, matrix[1].length = 2 → 3+2=5"
Java,Arrays,"What will it print? int[] arr = {1, 2, 3}; System.out.println(arr[3]);",3,IndexOutOfBoundsException,Compilation Error,null,B,"Accessing arr[3] throws ArrayIndexOutOfBoundsException"
Java,References,"What will it print? int[] a = {1, 2, 3}; int[] b = a; b[0] = 10; System.out.println(a[0]);",1,10,0,Compilation Error,B,"Arrays are references, so a and b point to same array"
Java,Exceptions,"What will it print? String[] names = new String[2]; System.out.println(names[0].length());",0,null,Compilation Error,NullPointerException,D,"names[0] is null, so calling length() throws NPE"
Java,Exceptions,"What will it print? int[] nums = new int[5]; nums[10] = 3;",Caught: java.lang.Exception,Caught: java.lang.ArrayIndexOutOfBoundsException,Compilation Error,Runtime Error,B,"Index 10 is out of bounds; exception caught"
Java,Exceptions,"What will it print? int x = Integer.parseInt(""abc"");",Invalid format,abc,Compilation Error,Runtime Error,A,"'abc' cannot be parsed as integer; throws NumberFormatException"
Java,Loops,"What will it print? String[] vals = {""one"", ""two"", ""three""}; for(String s : vals) System.out.print(s + "" "");",one two three,three two one,Compilation Error,Runtime Error,A,"Enhanced for-loop prints in order"
Java,Arrays,"What will it print? int[][] grid = new int[1][2]; System.out.println(grid.length + "" "" + grid[0].length);",1 2,2 1,Compilation Error,1 0,A,"grid[0].length = 2; grid.length = 1"
Java,Exceptions,"What will happen? int[] arr = new int[-2];",Length: -2,Compilation Error,NegativeArraySizeException,0,C,"Negative array size throws runtime exception"
Java,Exceptions,"What will it print? int x = 10 / 0;",Divide by zero!,0,Compilation Error,Runtime Exception,A,"Divide by zero throws ArithmeticException, caught and printed"
Java,Exceptions,"What will it print? int[] data = {10, 20, 30}; for(int i = 0; i <= data.length; i++) System.out.print(data[i] + "" "");",10 20 30,10 20 30 0,Compilation Error,ArrayIndexOutOfBoundsException,D,"i <= data.length leads to out-of-bounds"
Java,Arrays,"What will it print? String[][] text = new String[2][]; text[0] = new String[]{""A"", ""B""}; text[1] = new String[]{""C""}; System.out.println(text[1][0]);",A,B,C,null,C,"text[1][0] is ""C"""
Java,Arrays,"What will it print? int[] nums = new int[0]; System.out.println(nums.length);",0,1,Compilation Error,Exception,A,"Zero-length array is legal; prints 0"
Java,Exceptions,"What will it print? String[] list = null; System.out.println(list[0]);",null,Caught NPE,Compilation Error,Runtime Error,B,"Accessing list[0] on null array throws NullPointerException"
Java,Exceptions,"What will it print? throw new IllegalArgumentException(""Bad input"");",Bad input,Caught: Bad input,Compilation Error,IllegalArgumentException,B,"Exception caught and printed"
Java,Arrays,"What will it print? int[] values = {1, 2, 3, 4}; for (int i = values.length - 1; i >= 0; i--) System.out.print(values[i] + "" "");",4 3 2 1,1 2 3 4,Compilation Error,Runtime Error,A,"Reverse order printing with for-loop"
Java,Exceptions,"What will it print? Integer.parseInt(""10.5"");",Format error,10.5,Compilation Error,Runtime Error,A,"10.5 is not valid integer → NumberFormatException"
Java,Exceptions,"What will it print? Object[] obj = new String[2]; obj[0] = 10;",Done,Compilation Error,ArrayStoreException,null,C,"Storing Integer in String[] throws ArrayStoreException"
Java,Exceptions,"What will it print? String[] arr = {""one"", ""two"", ""three""}; System.out.println(arr[arr.length]);",three,Compilation Error,IndexOutOfBoundsException,Runtime Error,C,"Index arr.length is out of bounds"
Java,Exceptions,"What will it print? throw new Exception(""Boom"");",Caught runtime,Boom,Caught exception,Compilation Error,C,"Exception caught in second catch block"
Java,Pitfalls,"What will it print? if (i = 5) { }",Equal,Nothing,Compilation Error,Runtime Error,C,"Can't assign inside condition directly"
Java,Pitfalls,"What will it print? int x; System.out.println(x);",0,Compilation Error,Runtime Exception,null,B,"Local variable 'x' not initialized"
Java,Pitfalls,"What will it print? byte b = 10; b = b + 1;",11,Compilation Error,10,Runtime Error,B,"b + 1 = int → must cast to byte"
Java,Pitfalls,"What will it print? long x = 10_000;",10000,Compilation Error,10_000,10,000,A,"Underscores allowed for readability"
Java,Pitfalls,"What will it print? String s1 = ""Hello""; String s2 = new String(""Hello""); System.out.println(s1 == s2);",true,false,Compilation Error,Runtime Error,B,"== compares references, not values"
Java,Pitfalls,"What will it print? System.out.println(""1"" + 2 + 3);",123,6,33,15,A,"Left-to-right string concatenation"
Java,Pitfalls,"What will it print? char c = 65; System.out.println(c);",A,65,Compilation Error,null,A,"65 is ASCII for 'A'"
Java,Pitfalls,"What will it print? double d = 5 / 2; System.out.println(d);",2.0,2.5,Compilation Error,Runtime Exception,A,"5/2 is integer division first → 2 → then widened"
Java,Pitfalls,"What will it print? System.out.println(10 + 20 + ""30"");",30,1030,3030,3030.0,B,"10+20=30, then string concat"
Java,Pitfalls,"What will it print? int[] arr = new int[]{1, 2, 3}; System.out.println(arr.length());",3,Compilation Error,Runtime Error,0,B,"Array has 'length' field, not method"
Java,Pitfalls,"What will it print? Object o = new int[]{1, 2, 3}; System.out.println(o instanceof Object);",true,false,Compilation Error,Runtime Exception,A,"Arrays are objects"
Java,Pitfalls,"What will it print? int a = 5; a += 3.5;",8,8.5,Compilation Error,Runtime Error,C,"+= with double → implicit cast not allowed without loss"
Java,Pitfalls,"What will it print? static int x = 10; int x = 20; System.out.println(x);",10,20,Compilation Error,Runtime Error,B,"Local variable shadows class variable"
Java,Pitfalls,"What will it print? int[] a = new int[3]; System.out.println(a[3]);",0,3,Compilation Error,ArrayIndexOutOfBoundsException,D,"Index 3 out of bounds"
Java,Pitfalls,"What will it print? final int x = 100; byte b = x; System.out.println(b);",100,Compilation Error,0,Runtime Error,A,"final constant in byte range can be implicitly cast"
Java,Pitfalls,"What will it print? short s = 10; s = s * 5;",50,Compilation Error,Runtime Error,10,B,"s * 5 promotes to int → must cast to short"
Java,Pitfalls,"What will it print? true ? ""yes"" : 10;",yes,10,Compilation Error,Runtime Error,C,"Incompatible types between true/false branches"
Java,Pitfalls,"What will it print? for (System.out.print(""A""); i < 1; i++) System.out.print(""B""); System.out.print(""C"");",ABC,BAC,ACB,Compilation Error,A,"'A' prints first from loop init, then loop body → 'B', then 'C'"
Java,Pitfalls,"What will it print? switch(x) { case 5: print(""Five""); default: print(""Default""); }",Five,Default,Five Default,Compilation Error,C,"No break → fall-through occurs"
Java,Pitfalls,"What will it print? String str = ""null""; System.out.println(str == null);",true,false,null,Compilation Error,B,"""null"" is a string literal, not null"
