ID,Domain,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Created At
1,Other,Arrays and Exception Handling,"What will be the output of following program code?

<code>
import java.io.*;
public class Main{
    public static void main(String args[]){
        int[] array = new int[10];
        System.out.println(""Accessing Element Eleven: "" + array[10]);
    }
}
</code>",Compilation Fails.,Oops. Identified Exception : java.lang.ArrayIndexOutOfBoundsException: 10,Accessing Element Eleven: 0,Oops. Identified Exception java.lang.NoDataFoundException.,,B,Array is declared with 10 elements. Then the code tries to access the 11th index element of the array which throws a standard exception java.lang.ArrayIndexOutOfBoundsException.,2025-06-04 23:10:53
2,Other,Exception Handling,"Choose the correct options to complete the following program code. (Select 2 options.)

<code>
1. public void method() _____ Exception {
2. _____ Exception();
}
</code>",Fill throws in line 1,Fill throws new in Line 1,Fill throw new in line 2,Fill throws in line 2,Fill throws new in line 2,"A,C","In method declaration, the keyword throws is used. So here at line 1 we have to use option A. To actually throw an exception, the keyword throw is used and a new exception is created, so at line 2 we have to use throw and new keywords, which is option C.",2025-06-04 23:10:53
3,Other,Arrays and Exception Handling,"Which exception will the following statement generate?

<code>
int array[] = new int[-2];
</code>",NullPointerException,NegativeArraySizeException,ArrayIndexOutOfBoundsException,IndexOutOfBoundsException,The statement executes without any exception.,B,"In the given statement we can see that we have passed a negative value for creating int array, which results in a NegativeArraySizeException.",2025-06-04 23:10:53
4,Other,Loop Constructs and Variable Scope,"What will be the output of following program code?

<code>
1. public class Main {
2.     public static void main(String[] args) {
3.         int sum = 0;
4.         
5.         for(int x = 0; x < 10; x++)
6.             sum += x;
7.         System.out.print(""sum for 0 to "" + x);
8.         System.out.println("" = "" + sum);
9.     }
10. }
</code>",sum for 0 to 9 = 45,sum for 0 to 10 = 45,Compilation fails due to an error in line 6.,Compilation fails due to an error in line 7.,Runtime Exception,D,"The scope of loop variables remains within the loop only. The code is trying to access that variable in line 7, which is out of the scope of the variable x causing a compile time error.",2025-06-04 23:10:53
5,Other,Java Compilation,"Which of the following is valid for compiling java source file with the name ""Main.java""?",javac Main.java,java Main.class,java Main.java,javac Main,java Main,A,"The compiler is invoked by the javac command. When compiling a java class, you must include the file name which houses the main class including the java extension.",2025-06-04 23:10:53
6,Handling Exceptions,Exception Handling,"Code:

<code>
public static void main(String[] args){
    Float number = Float.valueOf(args[0]);
}
</code>

Which of the following exceptions possible with above statement? (Choose three)",IllegalArgumentException,NumberFormatException,ArrayIndexOutOfBoundsException,NullPointerException,ClassCastException,"A,B,C","IllegalArgumentException can occur with invalid input, NumberFormatException for non-numeric strings, and ArrayIndexOutOfBoundsException if no arguments are provided.",2025-06-04 23:10:53
7,Working With Java Data Types,Identifiers,Which of the following is valid identifier?,_2DPoint,$ocajp,2DPoint,java@elabs,$*coffee,"A,B","Valid identifiers can start with letter, underscore, or dollar sign. _2DPoint and $ocajp are valid. 2DPoint starts with digit (invalid), java@elabs contains @ (invalid), $*coffee contains * (invalid).",2025-06-04 23:10:53
8,Working with Methods and Encapsulation,Inheritance and Access Modifiers,"Code:

<code>
1. package epracticelabs;
2.
3. public class A {
4.     protected int y = 15;
5. }
6. package elab;
7.
8. import epracticelabs.A;
9.
10. public class B extends A{
11.     int y = 10;
12.     public void print(){
13.         A a = new A();
14.         System.out.println(a.y + y);
15.     }
16. }
</code>

What is the output?",20,25,30,Compilation fails due to error at line 14,Compilation fails due to multiple errors,D,"In class B, we cannot access protected member y of class A through an instance of A from a different package, even though B extends A.",2025-06-04 23:10:53
9,Imports,Import Statements,"Code:

<code>
1. import java.util.Random;
2. import java.lang.System;
3. import java.util.*;
4. import java.lang.*;
5.
6. public class MyExamCloudOcajps {
7.
8.     public static void main(String[] args) {
9.         Random r = new Random();
10.        System.out.println(r.nextInt(10));
11.    }
12. }
</code>

Which lines contains redundant imports that not necessary for this code to compile?",Only lines 1 and 2,"Only lines 1,2 and 3","Only lines 2,3 and 4","Only lines 1,3 and 4",All,C,"Line 2 is redundant (java.lang.* imported by default), line 3 is redundant (line 1 already imports Random), line 4 is redundant (java.lang.* imported by default).",2025-06-04 23:10:53
10,Working with Selected classes from the Java API,Date and Time API,"Code:

<code>
1. import java.time.LocalDate;
2.
3. public class MyExamCloudOCajps{
4.     public static void main(String[] args) {
5.         LocalDate date = LocalDate.parse(""2014-12-30"");
6.         date = date.plusDays(2);
7.         date.plusHours(12);
8.         System.out.println(date.getYear() +"" ""+ date.getMonth() +"" ""+ date.getDayOfMonth());
9.     }
10. }
</code>

What is the output?",2015 JANUARY 1,2015 JANUARY 2,2014 JANUARY 3,An exception is thrown,Compilation fails,E,"LocalDate doesn't have plusHours method, so compilation fails.",2025-06-04 23:10:53
11,Working with Inheritance,Interfaces,Which of the following method can include in an interface?,"static void print(){ System.out.println(""interface""); }",static abstract void print(),default abstract void print(),"default String toString(){ return ""a""; }",None of above,"A,D","Interfaces can have static methods with implementation and default methods with implementation. Abstract methods cannot be static, and default methods cannot be abstract.",2025-06-04 23:10:53
12,Java 8 Features,Java 8 Enhancements,"Which of the followings can be considered as enhancements in java 8?

1. Support for the Lambda Expression.
2. Multiple inheritances.
3. Default methods in abstract classes.
4. Date and Time API",Only 1,1 and 4,"1, 2 and 4","1, 3 and 4",All of the above,B,"Java 8 introduced Lambda Expressions and new Date/Time API. Java doesn't support multiple inheritance, and default methods are in interfaces, not abstract classes.",2025-06-04 23:10:53
13,Other,Other,"What will be the output of following program code?

import java.io.*;
public class Main{
    public static void main(String args[]){…}
}",Compilation Fails.,Oops. Identified Exception : java.lang.ArrayIndexOutOfBoundsException: 10,Accessing Element Eleven: 0,Oops. Identified Exception java.lang.NoDataFoundException.,,B,Array is declared with 10 elements. Then the code tries to access the 11th index element of the array which throws a standard exception java.lang.ArrayIndexOutOfBoundsException.,2025-06-05 14:15:05
14,Other,Other,"Choose the correct options to complete the following program code. (Select 2 options.)

1. public void method() _____ Exception {
2. _____ Exception();
}",Fill throws in line 1,Fill throws new in Line 1,Fill throw new in line 2,Fill throws in line 2,Fill throws new in line 2,A,"In method declaration, the keyword throws is used. So here at line 1 we have to use option A. To actually throw an exception, the keyword throw is used and a new exception is created, so at line 2 we have to use throw and new keywords, which is option C.",2025-06-05 14:15:05
15,Other,Other,"Which exception will the following statement generate?

int array[] = new int[-2];",NullPointerException,NegativeArraySizeException,ArrayIndexOutOfBoundsException,IndexOutOfBoundsException,The statement executes without any exception.,B,"In the given statement we can see that we have passed a negative value for creating int array, which results in a NegativeArraySizeException.",2025-06-05 14:15:05
16,Other,Other,"What will be the output of following program code?

1. public class Main {
2.     public static void main(String[] args) {
3.         int sum = 0;
4.         
5.         for(int x = 0; x < 10; x++)
6.             sum += x;
7.         System.out.print(""sum for 0 to "" + x);
8.         System.out.println("" = "" + sum);
9.     }
10. }",sum for 0 to 9 = 45,sum for 0 to 10 = 45,Compilation fails due to an error in line 6.,Compilation fails due to an error in line 7.,Runtime Exception,D,"The scope of loop variables remains within the loop only. The code is trying to access that variable in line 7, which is out of the scope of the variable x causing a compile time error.",2025-06-05 14:15:05
17,Other,Other,"What will be the output of this program code?

import java.lang.*;
public class Main{
    public static void main(String[] args){…}
}",0,1200,Runtime exception NumberFormatException is generated.,Compilation fails due to an error at line 6.,Compilation fails due to an error at line 9.,E,,2025-06-05 14:15:05
18,Other,Other,"Choose the options that can replace the text ""abc"" in the above code. (Select 2 options)

public class Main {
    public static void main(String[] args){…}
}",int i : testData,int i = 0; i < 3; i++,i = 0; i < 3; i++,int i,i < 3,A,Option A: for each loop condition. Option B: generic for loop condition.,2025-06-05 14:15:05
19,Handling Exceptions,Handling Exceptions,"Code:

public static void main(String[] args){
    Float number = Float.valueOf(args[0]);
}

Which of the following exceptions possible with above statement? (Choose two)",IllegalArgumentException,NumberFormatException,ArrayIndexOutOfBoundsException,,,B,,2025-06-05 14:15:05
20,Working with Methods and Encapsulation,Working with Methods and Encapsulation,"Code:

1. package epracticelabs;
2.
3. public class A {
4.     protected int y = 15;
5. }
6. package elab;
7.
8. import epracticelabs.A;
9.
10. public class B extends A{
11.     int y = 10;
12.     public void print(){
13.         A a = new A();
14.         System.out.println(a.y + y);
15.     }
16. }

What is the output?",20,25,30,Compilation fails due to error at line 14,Compilation fails due to multiple errors,B,,2025-06-05 14:15:05
21,Imports,Imports,"Code:

1. import java.util.Random;
2. import java.lang.System;
3. import java.util.*;
4. import java.lang.*;
5.
6. public class MyExamCloudOcajps {
7.
8.     public static void main(String[] args) {
9.         Random r = new Random();
10.        System.out.println(r.nextInt(10));
11.    }
12. }

Which lines contains redundant imports that not necessary for this code to compile?",Only lines 1 and 2,"Only lines 1,2 and 3","Only lines 2,3 and 4","Only lines 1,3 and 4",All,C,,2025-06-05 14:15:05
22,Working with Selected classes from the Java API,Working with Selected classes from the Java API,"Code:

1. import java.time.LocalDate;
2.
3. public class MyExamCloudOCajps{
4.     public static void main(String[] args) {
5.         LocalDate date = LocalDate.parse(""2014-12-30"");
6.         date = date.plusDays(2);
7.         date.plusHours(12);
8.         System.out.println(date.getYear() +"" ""+ date.getMonth() +"" ""+ date.getDayOfMonth());
9.     }
10. }

What is the output?",2015 JANUARY 1,2015 JANUARY 2,2014 JANUARY 3,An exception is thrown,Compilation fails,E,"LocalDate doesn't have plusHours method, so compilation fails.",2025-06-05 14:15:05
23,Working With Java Data Types,Working With Java Data Types,"Code:

1. public class MyExamCloudOCAIPs {
2.
3.     static int y = 10;
4.
5.     public static void main(String[] args){
6.         int y;
7.         System.out.println(y + MyExamCloudOCAIPs.y);
8.     }
9. }

What is the output?",10,11,20,NullPointerException,Compilation error,E,"Local variable y is not initialized, causing compilation error.",2025-06-05 14:15:05
24,Working With Java Data Types,Working With Java Data Types,"Which of the following will convert following string to a primitive float?

String str = ""1.2"";",Float.parseFloat(str);,Float.valueOf(str);,new Float(str);,(float) str;,,A,,2025-06-05 14:15:05
25,Other,Other,"What is the output of the following code?

public class Test {
    public static void main(String[] args) {…}
}",10,11,12,13,,C,,2025-06-05 14:15:05
26,Other,Other,Which of the following is a valid main method?,public static int main(String[] args),public void main(String args[]),public static void main(String[] args),static void main(String args),,C,,2025-06-05 14:15:05
27,Other,Other,"What will be the result of the following code?

String s = ""Hello"";
s.concat("" World"");
System.out.println(s);",Hello,Hello World,World,Compilation Error,,A,,2025-06-05 14:15:05
28,Other,Other,What is the default value of a boolean variable in a class?,true,false,0,null,,B,,2025-06-05 14:15:05
29,Other,Other,Which one is not a Java keyword?,static,Integer,void,if,,B,,2025-06-05 14:15:05
30,Other,Other,Which statement is true about Java arrays?,Arrays are dynamically sized.,Arrays can store different data types.,The size of an array must be specified at declaration.,Arrays are objects in Java.,,D,,2025-06-05 14:15:05
31,Other,Other,Which operator is used to perform a short-circuit AND?,&,|,&&,||,,C,,2025-06-05 14:15:05
32,Other,Other,Which of the following classes is immutable?,StringBuilder,String,StringBuffer,All of the above,,B,,2025-06-05 14:15:05
33,Other,Other,"What is printed?

int i = 10;
int j = 5;
int result = i++ + ++j;
System.out.println(result);",15,16,17,18,,C,,2025-06-05 14:15:05
34,Other,Other,What is the return type of the main() method?,void,int,String,Object,,A,,2025-06-05 14:15:05
35,Other,Other,Which keyword is used to inherit a class?,implement,interface,inherits,extends,,D,,2025-06-05 14:15:05
36,Other,Other,Which of these access specifiers allows access only within the same class?,private,public,protected,default,,A,,2025-06-05 14:15:05
37,Other,Other,Which of the following is not a primitive type?,int,float,char,String,,D,,2025-06-05 14:15:05
38,Other,Other,Which exception is thrown when dividing by zero in Java?,NullPointerException,ArithmeticException,IllegalArgumentException,NumberFormatException,,B,,2025-06-05 14:15:05
39,Other,Other,How do you declare an abstract method?,public void doIt();,public void doIt() {},abstract void doIt();,void abstract doIt();,,C,,2025-06-05 14:15:05
40,Other,Other,Which collection class maintains insertion order?,HashMap,TreeSet,LinkedHashSet,HashSet,,C,,2025-06-05 14:15:05
41,Other,Other,What is the size of a char in Java?,4 bytes,2 bytes,1 byte,Depends on JVM,,B,,2025-06-05 14:15:05
42,Other,Other,Which of the following is not allowed in a switch statement?,int,String,boolean,char,,C,,2025-06-05 14:15:05
43,Other,Other,Which interface must be implemented to create a thread in Java?,Runnable,Thread,Callable,Executor,,A,,2025-06-05 14:15:05
44,Other,Other,Which method is used to get the length of a string in Java?,length(),size(),getSize(),count(),,A,,2025-06-05 14:15:05
45,Other,Other,"What will it print?

public class Q21 {
    public static void main(String[] args) {…}
}",21,22,20,19,,A,,2025-06-05 14:15:05
46,Other,Other,"What will it print?

public class Q22 {
    public static void main(String[] args) {…}
}",True,False,Compilation Error,Runtime Exception,,A,,2025-06-05 14:15:05
47,Other,Other,"What will it print?

public class Q23 {
    public static void main(String[] args) {…}
}",true,false,Compilation Error,Runtime Exception,,A,,2025-06-05 14:15:05
48,Other,Other,"What will it print?

public class Q24 {
    public static void main(String[] args) {…}
}",10,8,7,Compilation Error,,B,,2025-06-05 14:15:05
49,Other,Other,"What will it print?

public class Q25 {
    public static void main(String[] args) {…}
}",1 2 3,3 2 1,1 2 3 4,Compilation Error,,A,,2025-06-05 14:15:05
50,Other,Other,"What will it print?

public class Q26 {
    public static void main(String[] args) {…}
}",world,nullworld,Compilation Error,NullPointerException,,B,,2025-06-05 14:15:05
51,Other,Other,"What will it print?

public class Q27 {
    public static void main(String[] args) {…}
}",true,false,Compilation Error,NullPointerException,,B,,2025-06-05 14:15:05
52,Other,Other,"What will it print?

public class Q28 {
    public static void main(String[] args) {…}
}",2,1,3,0,,A,,2025-06-05 14:15:05
53,Other,Other,"What will it print?

public class Q29 {
    public static void main(String[] args) {…}
}",16,13,10,8,,A,,2025-06-05 14:15:05
54,Other,Other,"What will it print?

public class Q30 {
    public static void main(String[] args) {…}
}",0,null,Compilation Error,Exception,,A,,2025-06-05 14:15:05
55,Other,Other,"What will it print?

public class Q31 {
    public static void main(String[] args) {…}
}",abc,ABC,Compilation Error,NullPointerException,,A,,2025-06-05 14:15:05
56,Other,Other,"What will it print?

public class Q32 {
    public static void main(String[] args) {…}
}",0 1 2,0 1 2 3,1 2 3,Infinite loop,,A,,2025-06-05 14:15:05
57,Other,Other,"What will it print?

public class Q33 {
    public static void main(String[] args) {…}
}",true,false,Compilation Error,Exception,,A,,2025-06-05 14:15:05
58,Other,Other,"What will it print?

public class Q34 {
    public static void main(String[] args) {…}
}",v,a,J,Compilation Error,,A,,2025-06-05 14:15:05
59,Other,Other,"What will it print?

public class Q35 {
    public static void main(String[] args) {…}
}",10,20,0,Compilation Error,,B,,2025-06-05 14:15:05
60,Other,Other,"What will it print?

public class Q36 {
    public static void main(String[] args) {…}
}",Zero,Nothing,Compilation Error,Runtime Exception,,C,,2025-06-05 14:15:05
61,Other,Other,"What will it print?

public class Q37 {
    public static void main(String[] args) {…}
}",127,128,-128,Compilation Error,,C,,2025-06-05 14:15:05
62,Other,Other,"What will it print?

public class Q38 {
    public static void main(String[] args) {…}
}",30,1030,3030,3030.0,,B,,2025-06-05 14:15:05
63,Java,Basics,What is the output of the following code? int x = 5; int y = ++x * 2; System.out.println(y);,10,11,12,13,,C,++x increments x to 6 before multiplication; 6*2 = 12,2025-06-05 14:16:08
64,Java,Basics,Which of the following is a valid `main` method?,public static int main(String[] args),public void main(String args[]),public static void main(String[] args),static void main(String args),,C,Only public static void main(String[] args) is valid,2025-06-05 14:16:08
65,Java,String,"What is the output of: String s = ""Hello""; s.concat("" World""); System.out.println(s);",Hello,Hello World,World,Compilation Error,,A,String is immutable; concat does not modify original,2025-06-05 14:16:08
66,Java,Primitives,What is the default value of a `boolean` variable in a class?,true,false,0,null,,B,Class-level booleans default to false,2025-06-05 14:16:08
67,Java,Operators,"What is printed? 

int i = 10; 
int j = 5; 
int result = i++ + ++j; 
System.out.println(result);",15,16,17,18,,C,"i++ is 10, ++j is 6 → result = 10 + 6 = 16",2025-06-05 14:16:09
68,Java,Basics,What is the return type of the `main()` method?,void,int,String,Object,,A,main method must return void,2025-06-05 14:16:09
69,Java,Access Control,Which access specifier allows access only within the same class?,private,public,protected,default,,A,private restricts access to the same class,2025-06-05 14:16:09
70,Java,Exceptions,Which exception is thrown when dividing by zero?,NullPointerException,ArithmeticException,IllegalArgumentException,NumberFormatException,,B,ArithmeticException for integer division by zero,2025-06-05 14:16:09
71,Java,Primitives,What is the size of a `char` in Java?,4 bytes,2 bytes,1 byte,Depends on JVM,,B,Java chars are 16-bit (2 bytes),2025-06-05 14:16:09
72,Java,Control Flow,Which of the following is not allowed in a `switch` statement?,int,String,boolean,char,,C,boolean is not supported in switch,2025-06-05 14:16:09
73,Java,Threads,Which interface must be implemented to create a thread?,Runnable,Thread,Callable,Executor,,A,Runnable is the standard way to implement a thread,2025-06-05 14:16:09
74,Java,Operators,"What will it print? 

int x = 10; 

System.out.println(x++ + ++x);",21,22,20,19,,A,"x++ is 10, ++x is 12 → 10+12 = 22",2025-06-05 14:16:09
75,Java,Booleans,"What will it print? 

boolean b = false; 

if (b = true) System.out.println(""True"");",True,False,Compilation Error,Runtime Exception,,A,Assignment inside if evaluates to true,2025-06-05 14:16:09
76,Java,Strings,"What will it print? String s1 = ""java""; String s2 = ""java""; System.out.println(s1 == s2);",true,false,Compilation Error,Runtime Exception,,A,String literals are interned → same reference,2025-06-05 14:16:09
77,Java,Operators,What will it print? int x = 5; System.out.println((x > 2) ? (x < 4) ? 10 : 8 : 7);,10,8,7,Compilation Error,,B,x > 2 is true → x < 4 is false → result is 8,2025-06-05 14:16:09
78,Java,Arrays,"What will it print? int[] arr = {1, 2, 3}; for(int i = 0; i < arr.length; i++) { System.out.print(arr[i] + "" ""); }",1 2 3,3 2 1,1 2 3 4,Compilation Error,,A,Basic for loop over array prints 1 2 3,2025-06-05 14:16:09
79,Java,Strings,"What will it print? String s = null; System.out.println(s + ""world"");",world,nullworld,Compilation Error,NullPointerException,,B,null + string → 'nullworld',2025-06-05 14:16:09
80,Java,Strings,"What will it print? String s1 = new String(""OCA""); String s2 = ""OCA""; System.out.println(s1 == s2);",true,false,Compilation Error,NullPointerException,,B,new String() creates new object,2025-06-05 14:16:09
81,Java,Operators,What will it print? int x = 7; int y = 3; System.out.println(x % y);,2,1,3,0,,A,7 % 3 = 1,2025-06-05 14:16:09
82,Java,Operators,What will it print? int x = 2; int y = 5; x *= y + 3; System.out.println(x);,16,13,10,8,,A,x *= y + 3 → x = x * (y+3) = 2*8 = 16,2025-06-05 14:16:09
83,Java,Arrays,What will it print? int[] arr = new int[2]; System.out.println(arr[0]);,0,null,Compilation Error,Exception,,A,Default value of int array element is 0,2025-06-05 14:16:09
84,Java,Strings,"What will it print? String str = ""abc""; str.toUpperCase(); System.out.println(str);",abc,ABC,Compilation Error,NullPointerException,,A,String is immutable; str remains unchanged,2025-06-05 14:16:09
85,Java,Loops,"What will it print? int i = 0; do { System.out.print(i + "" ""); } while(i++ < 2);",0 1 2,0 1 2 3,1 2 3,Infinite loop,,A,Post-increment allows print before check,2025-06-05 14:16:09
86,Java,Operators,What will it print? int x = 5; int y = 10; System.out.println(x > 2 && y < 15);,true,false,Compilation Error,Exception,,A,Both conditions are true,2025-06-05 14:16:09
87,Java,String,"What will it print? String str = ""Java""; System.out.println(str.charAt(2));",v,a,J,Compilation Error,,A,char at index 2 is 'v',2025-06-05 14:16:09
88,Java,Ternary,"What will it print? int a = 10, b = 20; int max = (a > b) ? a : b; System.out.println(max);",10,20,0,Compilation Error,,B,b is greater → max = b,2025-06-05 14:16:09
89,Java,Booleans,"What will it print? int x = 0; if(x) { System.out.println(""Zero""); }",Zero,Nothing,Compilation Error,Runtime Exception,,C,Cannot use int as boolean,2025-06-05 14:16:09
90,Java,Overflow,What will it print? byte b = 127; b++; System.out.println(b);,127,128,-128,Compilation Error,,C,Overflow of byte wraps around to -128,2025-06-05 14:16:09
91,Java,String,"What will it print? System.out.println(10 + 20 + ""30"");",30,1030,3030,3030.0,,B,10+20=30 then string concat = 3030,2025-06-05 14:16:09
92,Java,Strings,"What will it print? String a = ""Hello""; String b = ""Hel"" + ""lo""; System.out.println(a == b);",true,false,Compilation Error,Runtime Exception,,A,Compile-time string concatenation is interned,2025-06-05 14:16:09
93,Java,Primitives,What will it print? final int x = 100; byte b = x; System.out.println(b);,100,Compilation Error,0,Runtime Exception,,A,final constant fits in byte; implicit cast allowed,2025-06-05 14:16:09
94,Java,Arrays,What will it print? int[][] matrix = new int[2][]; matrix[0] = new int[3]; matrix[1] = new int[2]; System.out.println(matrix[0].length + matrix[1].length);,4,5,6,Compilation Error,,B,"matrix[0].length = 3, matrix[1].length = 2 → 3+2=5",2025-06-05 14:16:09
95,Java,Arrays,"What will it print? int[] arr = {1, 2, 3}; System.out.println(arr[3]);",3,IndexOutOfBoundsException,Compilation Error,null,,B,Accessing arr[3] throws ArrayIndexOutOfBoundsException,2025-06-05 14:16:09
96,Java,References,"What will it print? int[] a = {1, 2, 3}; int[] b = a; b[0] = 10; System.out.println(a[0]);",1,10,0,Compilation Error,,B,"Arrays are references, so a and b point to same array",2025-06-05 14:16:09
97,Java,Exceptions,What will it print? String[] names = new String[2]; System.out.println(names[0].length());,0,null,Compilation Error,NullPointerException,,D,"names[0] is null, so calling length() throws NPE",2025-06-05 14:16:09
